from,to,from_lon,from_lat,to_lon,to_lat
Barrow St & Grand St,Barrow St & Newark Ave,-74.047186,40.7164,-74.044783,40.720931
Bright St & Monmouth St,Bright St & Jersey Av,-74.051613,40.718246,-74.04857,40.717294
Brunswick St & Newark Av,Brunswick St & Columbus Dr,-74.050704,40.724359,-74.051406,40.721935
Coles St & Columbus Drive,Coles & Second Street,-74.048224,40.721144,-74.047586,40.722826
Colgate St & First St ,Colgate St & Third St ,-74.05264,40.722938,-74.05206,40.724013
Columbus Dr & Grove st,Columbus Dr & Brunswick St,-74.043047,40.719535,-74.051406,40.721935
First St & Merseles St ,First St & Newark Av,-74.053926,40.723482,-74.047026,40.72205
Fourth St & Merseles St,Grove St & Grand St ,-74.052481,40.724942,-74.050866,40.724525
Grove St & Grand St ,Grove St & Newark Av,-74.044907,40.71612,-74.042924,40.719998
Jersey Av & Grand St,Jersey Av & Newark,-74.049018,40.716498,-74.046175,40.721587
1 Marin Blvd ,Marin Blvd & Columbus Dr,-74.043243,40.711798,-74.041429,40.719029
Maxwell St & Jersey Ave,Maxwell St & Coles St,-74.046409,40.721258,-74.047988,40.72157
Mercer St & Marin Blvd ,Mercer St & Monmouth St,-74.04229,40.717951,-74.050547,40.720232
Merseles St & Newark Av,Merseles St & First St,-74.051781,40.72536,-74.053926,40.723482
Monmouth St & Bright St ,Monmouth St & Newark Av,-74.051613,40.718246,-74.049242,40.723175
Montgomery St & Warren St ,Montgomery St & Monmouth St,-74.039139,40.716924,-74.050895,40.719565
Newark Av & Merseles St ,Newark Av & Erie St,-74.051781,40.72536,-74.051781,40.72536
Second St & Coles St ,Second St & Merseles St,-74.047586,40.722826,-74.053885,40.723949
Third St & Merseles St ,Third St & Coles St,-74.053326,40.724416,-74.047473,40.723533
Wayne St & Marin Blvd ,Wayne St & Varick St,-74.042019,40.718375,-74.048611,40.72045
York St & Warren St ,York St & Monmouth St,-74.03929,40.716202,-74.051236,40.718936
Varick St & Bright St ,Varick St & Columbus Dr,-74.05008,40.717762,-74.048224,40.721144
