Zone,Address,City ,State,latitude,longitude
Zone 1,Barrow St & Grand St, Jersey City, NJ,40.7164,-74.047186
Zone 1,Barrow St & Newark Ave, Jersey City, NJ,40.720931,-74.044783
Zone 1,Bright St & Monmouth St, Jersey City, NJ,40.718246,-74.051613
Zone 1,Bright St & Jersey Av, Jersey City, NJ,40.717294,-74.04857
Zone 1,Brunswick St & Newark Av, Jersey City, NJ,40.724359,-74.050704
Zone 1,Brunswick St & Columbus Dr, Jersey City, NJ,40.721935,-74.051406
Zone 1,Coles St & Columbus Drive, Jersey City, NJ,40.721144,-74.048224
Zone 1,Coles & Second Street, Jersey City, NJ,40.722826,-74.047586
Zone 1,Colgate St & First St , Jersey City, NJ,40.722938,-74.05264
Zone 1,Colgate St & Third St , Jersey City, NJ,40.724013,-74.05206
Zone 1,Columbus Dr & Grove st, Jersey City, NJ,40.719535,-74.043047
Zone 1,Columbus Dr & Brunswick St, Jersey City, NJ,40.721935,-74.051406
Zone 1,First St & Merseles St , Jersey City, NJ,40.723482,-74.053926
Zone 1,First St & Newark Av, Jersey City, NJ,40.72205,-74.047026
Zone 1,Fourth St & Merseles St, Jersey City, NJ,40.724942,-74.052481
Zone 1,Fourth St & Newark Av, Jersey City, NJ,40.724525,-74.050866
Zone 1,Grove St & Grand St , Jersey City, NJ,40.71612,-74.044907
Zone 1,Grove St & Newark Av, Jersey City, NJ,40.719998,-74.042924
Zone 1,Jersey Av & Grand St, Jersey City, NJ,40.716498,-74.049018
Zone 1,Jersey Av & Newark, Jersey City, NJ,40.721587,-74.046175
Zone 1,1 Marin Blvd , Jersey City, NJ,40.711798,-74.043243
Zone 1,Marin Blvd & Columbus Dr, Jersey City, NJ,40.719029,-74.041429
Zone 1,Maxwell St & Jersey Ave, Jersey City, NJ,40.721258,-74.046409
Zone 1,Maxwell St & Coles St, Jersey City, NJ,40.72157,-74.047988
Zone 1,Mercer St & Marin Blvd , Jersey City, NJ,40.717951,-74.04229
Zone 1,Mercer St & Monmouth St, Jersey City, NJ,40.720232,-74.050547
Zone 1,Merseles St & Newark Av, Jersey City, NJ,40.72536,-74.051781
Zone 1,Merseles St & First St, Jersey City, NJ,40.723482,-74.053926
Zone 1,Monmouth St & Bright St , Jersey City, NJ,40.718246,-74.051613
Zone 1,Monmouth St & Newark Av, Jersey City, NJ,40.723175,-74.049242
Zone 1,Montgomery St & Warren St , Jersey City, NJ,40.716924,-74.039139
Zone 1,Montgomery St & Monmouth St, Jersey City, NJ,40.719565,-74.050895
Zone 1,Newark Av & Merseles St , Jersey City, NJ,40.72536,-74.051781
Zone 1,Newark Av & Erie St, Jersey City, NJ,40.72536,-74.051781
Zone 1,Second St & Coles St , Jersey City, NJ,40.722826,-74.047586
Zone 1,Second St & Merseles St, Jersey City, NJ,40.723949,-74.053885
Zone 1,Third St & Merseles St , Jersey City, NJ,40.724416,-74.053326
Zone 1,Third St & Coles St, Jersey City, NJ,40.723533,-74.047473
Zone 1,Wayne St & Marin Blvd , Jersey City, NJ,40.718375,-74.042019
Zone 1,Wayne St & Varick St, Jersey City, NJ,40.72045,-74.048611
Zone 1,York St & Warren St , Jersey City, NJ,40.716202,-74.03929
Zone 1,York St & Monmouth St, Jersey City, NJ,40.718936,-74.051236
Zone 1,Varick St & Bright St , Jersey City, NJ,40.717762,-74.05008
Zone 1,Varick St & Columbus Dr, Jersey City, NJ,40.721144,-74.048224
Zone 3,Canal St & Grove St , Jersey City, NJ,40.715054,-74.049819
Zone 3,Canal St & Jersey Av, Jersey City, NJ,40.715054,-74.049819
Zone 3,Essex St & Hudson St, Jersey City, NJ,40.712822,-74.034902
Zone 3,Essex St & Van Vorst St, Jersey City, NJ,40.713551,-74.041511
Zone 3,77 Grand St , Jersey City, NJ,40.714886,-74.037005
Zone 3,Grand St & Jersey Ave, Jersey City, NJ,40.716498,-74.049018
Zone 3,26 Greene St, Jersey City, NJ,40.712448,-74.036152
Zone 3,Greene St & Sussex St, Jersey City, NJ,40.714339,-74.036118
Zone 3,Sussex St & Greene St, Jersey City, NJ,40.714339,-74.036118
Zone 3,Sussex St & Van Vorst St, Jersey City, NJ,40.714911,-74.041229
Zone 3,Van Vorst St & Essex St, Jersey City, NJ,40.713551,-74.041511
Zone 3,Van Vorst St & York St, Jersey City, NJ,40.716381,-74.040923
Zone 3,158 Washington St, Jersey City, NJ,40.711992,-74.038396
Zone 3,Washington St & York St, Jersey City, NJ,40.716017,-74.037605
Zone 3,York St & Washington St, Jersey City, NJ,40.716017,-74.037605
Zone 3,York St & Warren St, Jersey City, NJ,40.716202,-74.03929
Zone 4,Bay St & Washington St, Jersey City, NJ,40.717705,-74.037263
Zone 4,Bay St & Marin Blvd, Jersey City, NJ,40.723921,-74.040621
Zone 4,Greene St & Grand St, Jersey City, NJ,40.716998,-74.052969
Zone 4,Greene St & Columbus Dr, Jersey City, NJ,40.719535,-74.043047
Zone 4,Hudson St , Jersey City, NJ,40.712503,-74.034419
Zone 4,Hudson St, Jersey City, NJ,40.712503,-74.034419
Zone 4,Marin BLVD & Columbus Dr , Jersey City, NJ,40.719535,-74.043047
Zone 4,Marin BLVD & Sixth St, Jersey City, NJ,40.725191,-74.042138
Zone 4,Montgomery St & Exchange Pl , Jersey City, NJ,40.716105,-74.033091
Zone 4,Montgomery St & Warren St, Jersey City, NJ,40.716563,-74.039214
Zone 4,Morgan St & Washington St , Jersey City, NJ,40.717705,-74.037263
Zone 4,Morgan St & Marin Blvd, Jersey City, NJ,40.723921,-74.040621
Zone 4,Provos St & Seconds St, Jersey City, NJ,40.722075,-74.039298
Zone 4,Provos St & Morgan St, Jersey City, NJ,40.719951,-74.039609
Zone 4,2 Second St, Jersey City, NJ,40.72133,-74.032311
Zone 4,Second & Marin Blvd, Jersey City, NJ,40.723921,-74.040621
Zone 4,Warren St & York St, Jersey City, NJ,40.716822,-74.044552
Zone 4,Warren St & Second St, Jersey City, NJ,40.722368,-74.042573
Zone 4,Washington St & Columbus Dr , Jersey City, NJ,40.719535,-74.043047
Zone 4,Washington St & First St, Jersey City, NJ,40.721819,-74.044343
Zone 4,Washington St & Grand St, Jersey City, NJ,40.7152915,-74.0399364
Zone 4,Washington St & First St, Jersey City, NJ,40.721819,-74.044343
Zone 4,Washington St & First St , Jersey City, NJ,40.721819,-74.044343
Zone 4,Washington St & Second St, Jersey City, NJ,40.722368,-74.042573
Zone 4,York & Hudson St , Jersey City, NJ,40.716687,-74.034121
Zone 4,York & Warren St, Jersey City, NJ,40.716563,-74.039214
Zone 5,Bay St & Marin Blvd, Jersey City, NJ,40.720816,-74.04109
Zone 5,Bay St & Newark Av, Jersey City, NJ,40.721149,-74.045193
Zone 5,Coles St & Sixth St, Jersey City, NJ,40.725643,-74.047181
Zone 5,Coles St & Second St, Jersey City, NJ,40.722826,-74.047586
Zone 5,Bay St & Marin Blvd, Jersey City, NJ,40.720816,-74.04109
Zone 5,Bay St & Newark Av, Jersey City, NJ,40.721149,-74.045193
Zone 5,Coles St & Sixth St, Jersey City, NJ,40.725643,-74.047181
Zone 5,Coles St & Second St, Jersey City, NJ,40.722826,-74.047586
Zone 5,Erie St &  Newark Av , Jersey City, NJ,40.720785,-74.044465
Zone 5,Erie St & Sixth St, Jersey City, NJ,40.725342,-74.043797
Zone 5,Fifth St &  Newark Av, Jersey City, NJ,40.725323,-74.051744
Zone 5,Fifth St & Brunswick St, Jersey City, NJ,40.725221,-74.050598
Zone 5,Fifth St & Coles St, Jersey City, NJ,40.724937,-74.047278
Zone 5,Fifth St & Manila Ave, Jersey City, NJ,40.724491,-74.042253
Zone 5,First St & Marin Blvd, Jersey City, NJ,40.721501,-74.040988
Zone 5,First St & Newark Av, Jersey City, NJ,40.72205,-74.047026
Zone 5,Fourth St & Manila Av, Jersey City, NJ,40.723777,-74.042361
Zone 5,Fourth St &  Coles St, Jersey City, NJ,40.724226,-74.04735
Zone 5,Grove St & First St, Jersey City, NJ,40.721665,-74.042701
Zone 5,Grove St & Newark Av, Jersey City, NJ,40.719998,-74.042924
Zone 5,Jersey Av & Newark Av, Jersey City, NJ,40.721587,-74.046175
Zone 5,Jersey Av & Sixth St, Jersey City, NJ,40.725501,-74.045483
Zone 5,15 Lauren Ct, Jersey City, NJ,40.722132,-74.04233
Zone 5,Lauren Ct & First Street, Jersey City, NJ,40.721819,-74.044343
Zone 5,Manila Av &  Sixth St, Jersey City, NJ,40.725191,-74.042138
Zone 5,Manila Av & First St, Jersey City, NJ,40.721665,-74.042701
Zone 5,Morgan St & Marin Blvd, Jersey City, NJ,40.720095,-74.041226
Zone 5,Morgan St & Gtrove, Jersey City, NJ,40.720231,-74.042913
Zone 5,2 Saddlewood Ct, Jersey City, NJ,40.721699,-74.041233
Zone 5,Saddlewood Ct & Seconds St, Jersey City, NJ,40.722263,-74.041456
Zone 5,Second St & Marin Blvd, Jersey City, NJ,40.722218,-74.040888
Zone 5,Second St & Coles St, Jersey City, NJ,40.722826,-74.047586
Zone 5,Third St & Coles St, Jersey City, NJ,40.723533,-74.047473
Zone 5,Third St & Manila Av, Jersey City, NJ,40.723091,-74.042468
Zone 6,Brunswick St & Ninth St, Jersey City, NJ,40.728846,-74.050059
Zone 6,Brunswick St &  Sixth St, Jersey City, NJ,40.725934,-74.050509
Zone 6,Coles St & Sixth St, Jersey City, NJ,40.725643,-74.047181
Zone 6,Coles St & 12th St, Jersey City, NJ,40.730594,-74.046382
